Result: timeout - The initial situation is similar to episode 100, the first part of the path is the same, then the detachment started to do the right things, but I still can’t get out, the vase has a narrow neck and the detachment didn’t work as it should?
Goal: [-27.729990511286058, -5.0932279938371545, -3.689441731315572, 112.45179200500634, -24.575695034638745, 88.68590705450602]
Steps: 500
Start: [-23.620410380186982, 14.581469168213502, -27.728004137299955, 152.0142248182974, -30.723594364897764, -164.81109524900256]
End: [-131.01932927519422, 12.78380453870635, -115.68820459594251, 0.0, -30.0, 0.0]
Start distance: 31.3mm
End distance: 153.4mm

Step 001 (dist=31.3mm): source: sac, act_name: move_tangentially
Step 453 (dist=156.0mm): source: sac, act_name: free_backward
Step 454 (dist=155.3mm): source: sac, act_name: free_backward
Step 455 (dist=154.6mm): source: sac, act_name: free_backward
Step 456 (dist=154.0mm): source: sac, act_name: free_backward
Step 457 (dist=153.4mm): source: sac, act_name: free_backward
Step 458 (dist=152.8mm): source: sac, act_name: free_forward_small
Step 459 (dist=153.4mm): source: sac, act_name: free_forward
Step 460 (dist=156.0mm): source: sac, act_name: free_forward
Step 461 (dist=158.9mm): source: sac, act_name: free_backward
Step 462 (dist=158.1mm): source: sac, act_name: free_backward
Step 463 (dist=157.4mm): source: sac, act_name: free_backward
Step 464 (dist=156.6mm): source: sac, act_name: free_backward
Step 465 (dist=156.0mm): source: sac, act_name: free_backward
Step 466 (dist=155.3mm): source: sac, act_name: free_backward
Step 467 (dist=154.6mm): source: sac, act_name: free_backward
Step 468 (dist=154.0mm): source: sac, act_name: free_backward
Step 469 (dist=153.4mm): source: sac, act_name: free_backward
Step 470 (dist=152.8mm): source: sac, act_name: free_forward
Step 471 (dist=155.3mm): source: sac, act_name: free_backward
Step 472 (dist=154.6mm): source: sac, act_name: free_backward
Step 473 (dist=154.0mm): source: sac, act_name: free_backward
Step 474 (dist=153.4mm): source: sac, act_name: free_backward
Step 475 (dist=152.8mm): source: sac, act_name: free_forward
Step 476 (dist=155.3mm): source: sac, act_name: free_backward
Step 477 (dist=154.6mm): source: sac, act_name: free_forward
Step 478 (dist=157.4mm): source: sac, act_name: free_backward
Step 479 (dist=156.6mm): source: sac, act_name: free_backward
Step 480 (dist=156.0mm): source: sac, act_name: free_backward
Step 481 (dist=155.3mm): source: sac, act_name: free_forward_small
Step 482 (dist=156.0mm): source: sac, act_name: free_backward
Step 483 (dist=155.3mm): source: sac, act_name: free_backward
Step 484 (dist=154.6mm): source: sac, act_name: free_backward
Step 485 (dist=154.0mm): source: sac, act_name: free_forward_small
Step 486 (dist=154.6mm): source: sac, act_name: free_backward
Step 487 (dist=154.0mm): source: sac, act_name: free_backward
Step 488 (dist=153.4mm): source: sac, act_name: free_forward
Step 489 (dist=156.0mm): source: sac, act_name: free_backward
Step 490 (dist=155.3mm): source: sac, act_name: free_forward_small
Step 491 (dist=156.0mm): source: sac, act_name: free_backward
Step 492 (dist=155.3mm): source: sac, act_name: free_backward
Step 493 (dist=154.6mm): source: sac, act_name: free_backward
Step 494 (dist=154.0mm): source: sac, act_name: free_forward
Step 495 (dist=156.6mm): source: sac, act_name: free_backward
Step 496 (dist=156.0mm): source: sac, act_name: free_backward
Step 497 (dist=155.3mm): source: sac, act_name: free_backward
Step 498 (dist=154.6mm): source: sac, act_name: free_backward
Step 499 (dist=154.0mm): source: sac, act_name: free_backward
Step 500 (dist=153.4mm): source: sac, act_name: free_backward
